N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,170.389160,320.488633
2048.000000,219.694677,427.462980
4096.000000,225.263821,437.773136
8192.000000,223.985818,468.332021
16384.000000,226.119149,456.067207
